Farm_ID,Crop_Type,Irrigation_Type,Soil_Type,Season,Farm_Area(acres),Fertilizer_Used(tons),Pesticide_Used(kg),Water_Usage(cubic meters),Yield(tons)
F0001,Sugarcane,Manual,Silty,Zaid,339.79,5.28,4.17,55915.88,35.67
F0002,Maize,Flood,Sandy,Kharif,313.65,2.71,1.11,29032.54,26.76
F0003,Barley,Flood,Sandy,Zaid,186.78,9.05,0.15,84076.7,19.36
F0004,Carrot,Sprinkler,Sandy,Kharif,67.42,4.15,0.77,76768.34,11.9
F0005,Sugarcane,Sprinkler,Loamy,Kharif,339.73,5.66,4.51,64260.67,24.65
F0006,Soybean,Drip,Loamy,Zaid,265.91,9.11,4.38,81552.36,44.58
F0007,Cotton,Drip,Loamy,Kharif,388.89,6.43,3.03,83056.48,36.45
F0008,Sugarcane,Sprinkler,Silty,Zaid,265.84,1.61,3.04,68752.67,32.52
F0009,Barley,Flood,Peaty,Kharif,427.86,9.43,3.36,80331.2,34.26
F0010,Carrot,Manual,Sandy,Kharif,281.33,6.46,0.96,67772.43,26.21
F0011,Maize,Sprinkler,Sandy,Rabi,285.74,3.68,4.58,66212.67,31.62
F0012,Barley,Drip,Silty,Rabi,439.81,1.82,2.15,60675.02,32.21
F0013,Barley,Flood,Sandy,Zaid,208.9,8.04,1.98,72744.5,31.02
F0014,Cotton,Sprinkler,Loamy,Rabi,77.4,6.39,2.64,19274.46,8.52
F0015,Tomato,Sprinkler,Peaty,Zaid,26.05,5.57,0.33,84278.37,23.46
F0016,Carrot,Flood,Clay,Rabi,380.51,8.99,0.91,83465.92,42.5
F0017,Rice,Sprinkler,Sandy,Kharif,314.71,7.99,3.72,7632.26,29.95
F0018,Barley,Flood,Loamy,Zaid,355.59,1.94,0.51,79323.51,24.87
F0019,Tomato,Manual,Clay,Zaid,115.93,3.46,3.06,16598.29,14.76
F0020,Rice,Flood,Peaty,Kharif,78.55,2.86,1.3,35160.7,10.07
F0021,Carrot,Flood,Clay,Zaid,19.1,7.57,2.01,71915.74,9.98
